Sample_ID	CRT	IRT	RBT	WCT	YCT
AT_BB_0001	0.990190186	0.009515833	0.999706019	0	0.000293981
AuburnFH_14_23	0	0	0	0	1
AuburnFH_14_24	0	0	0	0	1
AuburnFH_14_25	0	0	0	0	1
AuburnFH_14_26	0	0	0	0	1
AuburnFH_14_43	0	0	0	0	1
AuburnFH_14_44	0	0	0	0	1
AuburnFH_14_45	0	0	0	0	1
AuburnFH_14_46	0	0	0	0	1
B10_21_17	0.019545452	0.978941752	0.998487205	0.001512795	0
Baree_17_121	0.016675922	0.00156705	0.018242971	0.948326697	0.033430332
Baree_17_122	0.013218279	0.004219605	0.017437884	0.936925914	0.045636202
Baree_17_123	0.023381624	0.000348814	0.023730438	0.965584648	0.010684913
Baree_17_124	0.023824504	0.001403165	0.025227669	0.923254683	0.051517648
Baree_17_125	0.028747073	0.002010347	0.03075742	0.927846066	0.041396515
Baree_17_126	0	0.000688315	0.000688315	0.999311685	0
Baree_17_128	0.01143659	0.001030896	0.012467486	0.969867677	0.017664838
Baree_17_129	0.000475794	0.000238525	0.000714319	0.996518658	0.002767023
Baree_17_130	0.0168719	0.00152757	0.018399471	0.955174367	0.026426162
Baree_17_131	0.031267867	0.000896575	0.032164442	0.945246702	0.022588856
Baree_17_132	0.02852312	0.000969267	0.029492387	0.938703202	0.031804411
Baree_17_133	0.004756459	0.002671622	0.007428081	0.974281485	0.018290435
Baree_17_134	0.005876402	0.000816435	0.006692837	0.981885155	0.011422007
Baree_17_135	4.37291E-05	0.000880813	0.000924542	0.998635546	0.000439912
Baree_17_136	0.005068238	0.001596303	0.006664541	0.986029251	0.007306209
Baree_17_137	0.015983993	0.003251043	0.019235036	0.971246253	0.009518711
Baree_17_138	0.053901522	0.001809732	0.055711255	0.923228318	0.021060428
Baree_17_139	0.011125647	0.000995402	0.012121049	0.956166018	0.031712933
Baree_17_140	4.63005E-06	0.004637169	0.004641799	0.995358201	0
Baree_17_141	0.030370638	0.001242539	0.031613176	0.934673572	0.033713252
Baree_17_142	0.017133638	0.000939165	0.018072803	0.977077493	0.004849704
Baree_17_143	0.005691418	0.000787661	0.00647908	0.985207269	0.008313652
Baree_17_144	0.002696267	0.00026906	0.002965327	0.977567955	0.019466718
Baree_17_145	0.002122882	0.000147207	0.00227009	0.995373061	0.002356849
Baree_17_146	0	0.005861599	0.005861599	0.994138401	0
Baree_17_147	0.021082036	0.001344621	0.022426657	0.917771227	0.059802116
Baree_17_149	0.000468512	0.002696347	0.003164859	0.995702894	0.001132248
Baree_17_150	0.006863481	0.000271726	0.007135206	0.980772202	0.012092592
BC1_23_01	0.011548757	0.986043563	0.99759232	0.00240768	0
BC2_23_01	0	1	1	0	0
BC2_23_02	0.011624834	0.98525306	0.996877894	0.003122106	0
BC2_23_04	0.019420545	0.977445701	0.996866246	0.003133754	0
BC3_23_01	0.002262533	0.99478017	0.997042703	0.002957297	0
BC3_23_02	0.021697404	0.974819805	0.99651721	0.00348279	0
BCC1_23_01	0	1	1	0	0
BCC1_23_03	0.006584142	0.990932485	0.997516626	0.002483374	0
Bear_17_184	0.000475904	0.992894022	0.993369926	0.006630074	0
